coverage_dense,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687155875570517,0.026620094869326816,0.8424,0.08772311074427375,20790.377978145585,0.017829834709631166,1.4699654227511088e-07,20842.699950326252,1.0320133594819211e-08,7.980224991532839e-05,20790.377978145585,0.08772311074427375,0.017829834709631166
0.03,0.04890605359181175,0.02767846231209539,0.8392,0.08671898839782746,19539.576546804517,0.017519323039484076,1.4790159090818657e-07,20872.665529054226,8.917082113312702e-09,7.282630743233698e-05,19539.576546804517,0.08671898839782746,0.017519323039484076
0.06,0.05239312778665815,0.02950983023634551,0.8322,0.08540399675715485,18234.612383499312,0.017049954473960946,1.5450110265516412e-07,21750.77713077746,8.414578203424163e-09,6.615629057325286e-05,18234.612383499312,0.08540399675715485,0.017049954473960946
0.09,0.056627452724412754,0.03126292367157095,0.8204,0.08395521344195751,18183.812599989462,0.01679800285291302,1.6250162628330147e-07,22468.13761331424,9.776610098557286e-09,8.34927381993257e-05,18183.812599989462,0.08395521344195751,0.01679800285291302
0.12,0.05963578812062826,0.032267182172308534,0.8218,0.084411266925414,17703.137208667264,0.01650324182080236,1.499762038560661e-07,20997.408716324444,7.212559782930587e-09,6.0707541456346834e-05,17703.137208667264,0.084411266925414,0.01650324182080236
0.15,0.06284096185638652,0.03380083664849879,0.8218,0.08392779443633051,16963.37104431439,0.01584132734279861,1.529162976317292e-07,21187.999105460713,8.871608290048082e-09,6.631814485682574e-05,16963.37104431439,0.08392779443633051,0.01584132734279861
0.18,0.06146039388548593,0.03332546574087212,0.8322,0.08303665132132831,16673.044915187416,0.015680595797259625,1.559267276417564e-07,21481.798756652657,9.48295885079697e-09,6.267978421611513e-05,16673.044915187416,0.08303665132132831,0.015680595797259625
0.21,0.06207721438450857,0.03337911918209929,0.845,0.08312712666382512,16302.02056933049,0.015358954610962032,1.5169313066346222e-07,20842.89729899369,8.971755656964675e-09,6.714736022082263e-05,16302.02056933049,0.08312712666382512,0.015358954610962032
0.24,0.06229857545955595,0.0334688059430196,0.8516,0.08338678468542542,16542.018185373407,0.015017762774895927,1.5433488063108955e-07,20839.95251733651,9.901390577465177e-09,7.526133933603404e-05,16542.018185373407,0.08338678468542542,0.015017762774895927
0.27,0.06532841240962164,0.034934143022485604,0.8514,0.08266395473588481,15975.268997838628,0.014818495956895767,1.505521058539867e-07,20571.409658948458,9.127126208305818e-09,6.992058091483048e-05,15975.268997838628,0.08266395473588481,0.014818495956895767
0.3,0.07034935360590223,0.03753468122688359,0.8434,0.0826025389843505,15276.687444318137,0.014118491209160113,1.5516283906700687e-07,19506.357625498844,9.126674843707234e-09,6.579698779187593e-05,15276.687444318137,0.0826025389843505,0.014118491209160113
0.33,0.07299235491529572,0.03865921297420783,0.8338,0.08119431890576399,14587.526946832995,0.013888354200438022,1.515123538016345e-07,20737.323969834346,9.21582963873157e-09,7.132851308733501e-05,14587.526946832995,0.08119431890576399,0.013888354200438022
0.36,0.07498975060266708,0.03974762774190282,0.8298,0.08018525937494421,14113.7681210136,0.013690915379301576,1.5368849038293025e-07,20996.776705709213,8.116595925206467e-09,5.416898472982779e-05,14113.7681210136,0.08018525937494421,0.013690915379301576
