coverage_sparse,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687437010884905,0.026622186346044917,0.8424,0.08772560963932075,20794.905061123303,0.01782625391935251,1.470059158875832e-07,20840.264905136595,1.032185804897003e-08,7.982426295660533e-05,20794.905061123303,0.08772560963932075,0.01782625391935251
0.03,0.05127048938659397,0.029006043261496313,0.827,0.0817120612997413,16865.120692556135,0.016413279796124693,1.5410204711890024e-07,21111.717326609767,9.140644414141668e-09,8.154588573873921e-05,16865.120692556135,0.0817120612997413,0.016413279796124693
0.06,0.05610954918103852,0.031400962390186034,0.8066,0.07772171419055092,17089.661262608042,0.016245511750334358,1.6998363122184379e-07,21549.63305598456,1.3158518176601253e-08,0.00010586948457321546,17089.661262608042,0.07772171419055092,0.016245511750334358
0.09,0.06206521475979144,0.03464998162701188,0.7808,0.07369422358052807,14287.00440423974,0.014541320050475945,1.6095991281560422e-07,18009.6135981575,8.705122392781824e-09,6.733112192805341e-05,14287.00440423974,0.07369422358052807,0.014541320050475945
0.12,0.06289876662162949,0.035530956965094306,0.7832,0.07382363543317894,12401.937389266623,0.013096005187215112,1.638616370244242e-07,21659.839809301036,5.057920089342121e-09,3.98768779194222e-05,12401.937389266623,0.07382363543317894,0.013096005187215112
0.15,0.06368613068821531,0.036044666554161144,0.7734,0.07135436011067028,13721.687120934435,0.015145569039277603,1.7001428405999466e-07,19233.072355163946,9.555085450808116e-09,7.864090301373224e-05,13721.687120934435,0.07135436011067028,0.015145569039277603
0.18,0.06587787015560498,0.036894604691882035,0.79,0.0730855038262409,12318.260398713446,0.012230122201133429,1.5250583264007667e-07,16959.679791580973,2.9269097797106287e-09,2.198187176476681e-05,12318.260398713446,0.0730855038262409,0.012230122201133429
0.21,0.06979176401832832,0.03976422971672489,0.7396,0.069977271989835,13028.868712798918,0.012751015947532782,1.7288867951226047e-07,20158.601151505743,1.0328046866965269e-10,1.2843235107642434e-06,13028.868712798918,0.069977271989835,0.012751015947532782
0.24,0.07464784714179967,0.041727529825656966,0.7618,0.07156337143231578,11892.208920562854,0.011932645779669288,1.9595362704841297e-07,21587.101853536707,7.688974117924707e-11,3.395588428415221e-07,11892.208920562854,0.07156337143231578,0.011932645779669288
0.27,0.06910309218488066,0.038467342302958445,0.8054,0.07295804230749584,11995.628145053468,0.011166885694464775,1.8457255067552935e-07,17964.507740981655,1.9465262921856423e-11,4.3355080999271106e-07,11995.628145053468,0.07295804230749584,0.011166885694464775
0.3,0.06763948489358108,0.038215129445753865,0.7726,0.07269031026414227,15341.415731898118,0.012076296006164713,1.7983493083957726e-07,23296.0647621871,2.4355513562947252e-08,0.00021736623359718132,15341.415731898118,0.07269031026414227,0.012076296006164713
0.36,0.07368937213721886,0.04110988569522401,0.8118,0.07444745912557406,11379.294773985686,0.010382497894494195,1.8681839886925146e-07,20126.681307781677,9.348620102990208e-11,5.297561880289183e-07,11379.294773985686,0.07444745912557406,0.010382497894494195
0.39,0.07293029441559769,0.04065439159877058,0.804,0.07328199078271198,11870.798213885882,0.01090444826205702,1.7718599717035508e-07,20553.668649522147,1.8383913909434632e-10,1.887577236899256e-06,11870.798213885882,0.07328199078271198,0.01090444826205702
0.42,0.0748658377052305,0.04195491156634331,0.8002,0.07849880534740827,13737.854333791707,0.010614319816057307,1.6750309818466028e-07,19249.988408181078,4.356442200750011e-09,1.740665985656669e-05,13737.854333791707,0.07849880534740827,0.010614319816057307
0.48,0.06858149430112775,0.03837013373665817,0.8018,0.07274688180470378,17236.919968693517,0.010930589890097247,1.5245868427229515e-07,15040.846190520428,2.287853967779425e-08,0.00016494078330425517,17236.919968693517,0.07274688180470378,0.010930589890097247
0.51,0.06949086928903091,0.038434596819295015,0.8336,0.08458166517483022,24708.61144194059,0.010640299599549033,1.6889618041624326e-07,19343.676835939914,6.200345409674004e-08,0.00022983993579075122,24708.61144194059,0.08458166517483022,0.010640299599549033
0.54,0.07468771189733493,0.04223142610279774,0.8406,0.07889789039082186,13115.018649426871,0.010531365361967781,1.515307587121034e-07,18715.1823510253,2.7976629338310586e-10,2.2613266045516323e-07,13115.018649426871,0.07889789039082186,0.010531365361967781
0.57,0.07447105029479491,0.04061884027211026,0.871,0.08820300299505285,18874.163592664674,0.010253848518349238,1.3421895114088178e-07,18910.683903054705,5.1116548576462905e-08,0.00014836199168273198,18874.163592664674,0.08820300299505285,0.010253848518349238
0.6,0.07096212261422764,0.03979030947737472,0.9016,0.09041340806597854,17488.72251814348,0.010379191979946597,1.215643084589717e-07,26579.459690599157,8.16474274353755e-08,0.00024259865873014428,17488.72251814348,0.09041340806597854,0.010379191979946597
