coverage_sparse,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,l_v,tau_v,sigma_v,sigma_S,l_S,tau_S
0.0,0.04451579198034598,0.02505216791786384,0.871,3.8459951099224395e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.03,0.04560383556357692,0.02562449658694141,0.8634,3.0265740893816486e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.06,0.047227742822467854,0.02657639628777723,0.8524,4.034492377506793e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.09,0.04632643531016933,0.026027029118948553,0.8584,5.945261823235871e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.12,0.0498680377379516,0.028059949327979984,0.8424,2.640246810072143e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.15,0.04880128735944608,0.02744881714480962,0.8476,3.787399897460635e-09,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.18,0.05065715167620335,0.028282894121430216,0.8394,1.636255467094396e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.21,0.05380737989004621,0.030206823746402687,0.8234,4.864594551346132e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.24,0.054623849534826206,0.030921110156236022,0.818,8.162192359601174e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.27,0.05354759030383172,0.030127478019352998,0.8348,4.4777131643376446e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.3,0.05728908457686792,0.03235424194579513,0.8088,3.3874761919659606e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.33,0.054781192041049934,0.0308122588055125,0.8442,4.894522859729807e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.36,0.06064456147420701,0.03411991673456872,0.8274,1.6073538922256238e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.39,0.06027432985481113,0.03400062934927786,0.8126,8.500741924404361e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.42,0.06106410737920831,0.03479716818713929,0.8182,5.265599761130874e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.45,0.056724655883053664,0.03194960722389632,0.8586,2.5460455239592836e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.48,0.061921766285907974,0.034569507962132644,0.8398,4.353297129325051e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.51,0.06730144410748588,0.037128591202003944,0.8582,7.43901057858908e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.54,0.06697905852657841,0.03795939293952359,0.842,4.6870458923085907e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.57,0.07455179741274277,0.040690180815941834,0.8494,5.485573705271516e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.6,0.06859609785632492,0.03859127498269334,0.8636,5.761887078475245e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.63,0.0725544742472214,0.040687682345444565,0.8772,1.4171541746361745e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.66,0.08556424297226432,0.048520883891432165,0.8174,1.1853154582154497e-06,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.69,0.08617740085029517,0.047450483915259925,0.865,2.788157030046179e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.72,0.07718149568113142,0.04335279156183921,0.8964,1.6266512552450936e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
0.75,0.08336967644298268,0.047019377682835116,0.9246,2.724695959658269e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
