noise_sd,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687437010884905,0.026622186346044917,0.8424,0.08772560963932075,20794.905061123303,0.01782625391935251,1.470059158875832e-07,20840.264905136595,1.032185804897003e-08,7.982426295660533e-05,20794.905061123303,0.08772560963932075,0.01782625391935251
0.001,0.05343097130755408,0.02987696444874543,0.8758,0.08969711748371006,23680.74307005296,0.011499766252638582,1.2920364111469408e-07,19947.154424424698,7.012457051865974e-08,0.0009956012524333234,23680.74307005296,0.08969711748371006,0.011499766252638582
0.002,0.05656882012173099,0.031556460893623614,0.8662,0.09320077083417494,30619.908617014746,0.010394118320817923,7.659952614189243e-08,13375.628735445089,9.399520170169366e-08,0.0019481810113878965,30619.908617014746,0.09320077083417494,0.010394118320817923
0.003,0.06710740718984899,0.03746650536638086,0.8726,0.09119552476171712,26316.810438877812,0.009990205558554545,1.2002757243087828e-07,32871.70912384822,1.1952567677649246e-07,0.0029417873752031103,26316.810438877812,0.09119552476171712,0.009990205558554545
0.004,0.07352236117063488,0.041446639560718784,0.8246,0.08319206193289813,28548.80620137361,0.010212439818736792,1.3193306009815338e-07,36527.57270862418,1.253508475197172e-07,0.003919714140231523,28548.80620137361,0.08319206193289813,0.010212439818736792
0.005,0.07048515861052716,0.03989308246202833,0.857,0.08296162931405307,28394.697304331115,0.00999207858686826,1.322218797345745e-07,35765.66886105872,1.436733927925746e-07,0.0049910022184736485,28394.697304331115,0.08296162931405307,0.00999207858686826
0.006,0.07965356526682148,0.04527509158212486,0.814,0.08088943354841932,28772.888587551555,0.00999162448757073,9.05116951975599e-08,23003.780131810305,1.574392494800043e-07,0.006035308889274207,28772.888587551555,0.08088943354841932,0.00999162448757073
0.007,0.07993406586115727,0.045431719185250664,0.831,0.08128695376587292,29073.166676035165,0.010033461523080281,9.999999999999982e-09,19769.3200445499,1.5474238329397936e-07,0.0071259016955873625,29073.166676035165,0.08128695376587292,0.010033461523080281
0.008,0.07725168404682732,0.04391231651865688,0.841,0.07842415823470442,29000.351396792783,0.010011475326834107,1.1879816254342897e-06,2232.5435008138734,1.9928361643931984e-07,0.0053720789516641,29000.351396792783,0.07842415823470442,0.010011475326834107
0.009,0.08024488497056996,0.0450602437301667,0.8582,0.0846904473423736,27680.62834431397,0.010004053189410049,1.2408214685004297e-07,26387.095782538832,1.9174818138070346e-07,0.008939450712825496,27680.62834431397,0.0846904473423736,0.010004053189410049
0.01,0.08903896030875295,0.050353361751835114,0.8076,0.07573147350382156,28545.880190980333,0.009999683173484685,2.946567912969668e-07,9916.158455251227,1.9976005247573194e-07,0.0098583403487949,28545.880190980333,0.07573147350382156,0.009999683173484685
0.011,0.09879971640824803,0.0562913059720501,0.783,0.07829439233664061,27853.140443761873,0.010001817583134476,3.406540649897769e-07,28701.06162624768,2.1616020238892112e-07,0.010688434858170852,27853.140443761873,0.07829439233664061,0.010001817583134476
0.012,0.09034217114488081,0.05174467259958699,0.7696,0.06929186036198759,29916.294796511855,0.0100174161653401,2.51897884601785e-07,26233.740879659723,1.9531603637441537e-07,0.011572071975591777,29916.294796511855,0.06929186036198759,0.0100174161653401
0.013,0.0910069319773799,0.05208267116591949,0.7896,0.06955218870425872,29336.769728953765,0.009991750561926924,9.999999999999982e-09,19951.827143482606,4.74292810212633e-08,0.012988128767455611,29336.769728953765,0.06955218870425872,0.009991750561926924
0.014,0.08764551594797416,0.048869104456922,0.8328,0.07342721928495388,28542.96395610345,0.010000060846753766,9.999999999999982e-09,18445.440835021316,1.043363682745345e-07,0.013724284723695758,28542.96395610345,0.07342721928495388,0.010000060846753766
0.015,0.09353154578776615,0.05325234446112172,0.8278,0.08331725950520356,27816.161521167593,0.010006036037793676,9.999999999999982e-09,19990.692477760076,8.004658908727537e-08,0.01480237531497344,27816.161521167593,0.08331725950520356,0.010006036037793676
