time_sec,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,l_v,tau_v,sigma_v,sigma_S,l_S,tau_S
0.0,0.04451579198034598,0.02505216791786384,0.871,3.8459951099224395e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
3600.0,0.04760837409485182,0.026701437583900856,0.8624,2.498519165011724e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
7200.0,0.05112847251664434,0.02865935020058746,0.8406,1.9926315398321634e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
10800.0,0.05173897095758098,0.029248512049500408,0.8224,4.184908365883715e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
14400.0,0.049604864592498014,0.028149792903993567,0.8194,7.352589416396807e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
18000.0,0.047328515162955706,0.02658386994311161,0.8476,5.711046678166736e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
21600.0,0.046354530073211185,0.02584580659054925,0.8638,6.100608909464022e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
25200.0,0.04688031837647647,0.02592677806072793,0.8616,4.0561279529939686e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
28800.0,0.04757957443601262,0.026202838163235872,0.8572,1.590354030594768e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
32400.0,0.048400321286505524,0.026648690213764013,0.8512,3.1821262150886687e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
36000.0,0.04815476698033624,0.026613674157072206,0.8564,4.806613832649894e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
39600.0,0.045547828998062416,0.025404321171018256,0.868,3.2954665975871826e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
43200.0,0.04358663500020679,0.02432397056400063,0.8808,5.364107918711894e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
46800.0,0.05054523206447022,0.027404571212429545,0.851,1.4596554921978258e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
50400.0,0.05943192346882663,0.031207775030576302,0.8242,3.973283885786591e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
54000.0,0.06653392736305538,0.034601819256821854,0.7934,5.871564716806858e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
57600.0,0.07085141753395434,0.03713855603852591,0.765,8.154900376814448e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
61200.0,0.07216309294547801,0.0379538419107123,0.7618,4.0980276123533e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
64800.0,0.07099339196033644,0.03822833518238125,0.7506,3.2990855613698346e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
68400.0,0.06680169633712502,0.03720835925696222,0.7424,4.4574743576673214e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
72000.0,0.06062808249426403,0.033589850251757494,0.7866,2.5913255986962383e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
75600.0,0.05577254209853548,0.030746091788825036,0.8246,9.213319919078134e-09,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
79200.0,0.05204346869424006,0.028944041690980703,0.84,3.623722781793802e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
82800.0,0.04878453643062023,0.02685142839977757,0.8526,3.511514140995425e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
86400.0,0.049435929986794885,0.02729730238602764,0.8492,3.657169899524359e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
90000.0,0.049162293105021425,0.0272499836257761,0.8558,2.3827891308063954e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
93600.0,0.046619313905339854,0.025728158186467568,0.8762,1.245880221411212e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
97200.0,0.04553577164328124,0.02523049997580398,0.8742,3.355415765032009e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
100800.0,0.044302861482709344,0.02504303708544495,0.8626,3.338912170750079e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
104400.0,0.044418269854078665,0.025133989214576817,0.862,3.5658533579680147e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
108000.0,0.04536463565721493,0.025222942737016044,0.8736,6.101082438818832e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
111600.0,0.04550731653488059,0.025060130286944413,0.8772,3.684758453825285e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
115200.0,0.04647114347231845,0.02526364445671278,0.8758,1.7207082709241933e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
118800.0,0.046546378903361704,0.02506994262536154,0.8808,4.3133986624654587e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
122400.0,0.04505615819139917,0.024441765522844775,0.8866,4.482194057451579e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
126000.0,0.042192220146581076,0.023073318677204982,0.893,6.013874147847023e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
129600.0,0.04114597227468575,0.022877261982838168,0.8928,4.962407197751423e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
133200.0,0.04185317645237761,0.02323787158295167,0.8898,4.4451937170706817e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
136800.0,0.04197308029865723,0.023272046233914878,0.8868,3.704288842648849e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
140400.0,0.04289155259341427,0.023816817001459725,0.8826,6.059539545660757e-08,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
144000.0,0.042967440765144846,0.02403740135849446,0.8846,3.2431283169371233e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
147600.0,0.0422268206578059,0.02380851744740244,0.8838,2.5374746950354836e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
151200.0,0.04330618612220848,0.02441384102263479,0.8688,3.6371560337023383e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
154800.0,0.04639416463442189,0.025879665485576357,0.849,7.100144010433117e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
158400.0,0.04932422725608811,0.02716867224115955,0.8404,3.671330909735915e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
162000.0,0.05013471287537691,0.027420483730664642,0.854,5.832413165212934e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
165600.0,0.050280932561776216,0.02780988267503506,0.8388,4.821253983634246e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
169200.0,0.047853467917809964,0.026877661444772157,0.8364,3.005405485803269e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
172800.0,0.04862931562457115,0.027292615078554287,0.8402,5.128911229834116e-07,0.1105636905644317,38202.82975620568,0.0091628561149137,38398.23990626344,0.0102204868106392,0.1108322366425462,1.2872144711529046e-07,13854.650688481312,1.5489538763797162e-07
