time_sec,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687437010884905,0.026622186346044917,0.8424,0.08772560963932075,20794.905061123303,0.01782625391935251,1.470059158875832e-07,20840.264905136595,1.032185804897003e-08,7.982426295660533e-05,20794.905061123303,0.08772560963932075,0.01782625391935251
3600.0,0.04891924034979652,0.02771237533480646,0.817,0.08158201113356757,20157.835584321332,0.018806870225279843,1.458654691432989e-07,23264.07472712834,6.449734133010401e-09,5.0157031362985466e-05,20157.835584321332,0.08158201113356757,0.018806870225279843
7200.0,0.051417516651171905,0.029062131064436524,0.7982,0.07653742177238987,16907.836699546304,0.018161163486437617,1.4706193412926718e-07,29611.449588061627,1.0213670068190236e-08,8.364550288484123e-05,16907.836699546304,0.07653742177238987,0.018161163486437617
10800.0,0.05574877022506735,0.031491546004116334,0.7962,0.07639462528651998,14336.942593741718,0.016739675294974006,1.6678790294150223e-07,27983.954837550737,7.537995063798185e-09,5.9423949377465975e-05,14336.942593741718,0.07639462528651998,0.016739675294974006
14400.0,0.057111780901259755,0.03235152008112245,0.8012,0.080333792548168,14174.016133342893,0.015318257007567102,1.8362933707649418e-07,26032.698019899555,3.4637743051920436e-09,3.331226473400911e-05,14174.016133342893,0.080333792548168,0.015318257007567102
18000.0,0.05609936908374625,0.03177112432181366,0.8228,0.08560827133598237,14410.915858110156,0.013682869674778447,1.818607520453485e-07,24714.403815723126,2.437784079287209e-09,1.6878553311279356e-05,14410.915858110156,0.08560827133598237,0.013682869674778447
21600.0,0.05515359499346717,0.031014374372296077,0.833,0.08758716319291097,14479.251213767482,0.013436384463620794,1.7045409419146314e-07,24815.823890900712,6.534051370643083e-10,4.453176812123399e-06,14479.251213767482,0.08758716319291097,0.013436384463620794
25200.0,0.05780046721800664,0.03210011416321754,0.8268,0.08725431545071324,13945.959151173867,0.01368458445804331,1.6182103489546e-07,23613.662422631965,8.712627649013381e-11,2.9647147959078153e-06,13945.959151173867,0.08725431545071324,0.01368458445804331
28800.0,0.05955690972563764,0.03269675460724244,0.823,0.08609806317940427,13506.493489957695,0.013610953716142809,1.5061271631325306e-07,21337.086038783353,6.903096714435151e-09,5.961557563880952e-05,13506.493489957695,0.08609806317940427,0.013610953716142809
32400.0,0.058015916513513455,0.03181525017839095,0.8254,0.084135051412911,13896.770299145563,0.013946593069316792,1.4268591077398787e-07,22233.342513964388,1.0355992273329038e-08,0.00010757127586064627,13896.770299145563,0.084135051412911,0.013946593069316792
36000.0,0.05438162576563594,0.029722692812067943,0.8418,0.08815636531903875,16414.508470486388,0.015578491831448672,1.4127774800055225e-07,22299.040146857664,1.3077520305633319e-08,0.00011901454027381554,16414.508470486388,0.08815636531903875,0.015578491831448672
39600.0,0.04962467285558033,0.027378166471148154,0.8456,0.09495095314572127,21180.15908479874,0.018370920245255926,1.4035048092556913e-07,21631.138142648782,1.4153787103607499e-08,0.00011553870163369283,21180.15908479874,0.09495095314572127,0.018370920245255926
43200.0,0.047350387189971976,0.026450632270197776,0.8396,0.09702392723556237,24871.39739364398,0.020177398930579633,1.4143171303662365e-07,21051.173245859878,1.0974710643986587e-08,9.857378409097146e-05,24871.39739364398,0.09702392723556237,0.020177398930579633
46800.0,0.045793011342665106,0.025730900570640557,0.835,0.09548023245261777,25157.587149915587,0.019397796064804112,2.3395777606836338e-07,39384.31749993594,1.514870059552625e-08,0.0001243292548366346,25157.587149915587,0.09548023245261777,0.019397796064804112
