coverage_dense,RMSE,crps_norm,coverage90,sigma_tau,sigma_u,l_u,tau_u,sigma_v,l_v,tau_v,sigma_S,l_S,tau_S
0.0,0.04451332615831538,0.025050921173999707,0.871,6.500560680921786e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.03,0.04570402490150971,0.02576675835544923,0.867,3.245347773017086e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.06,0.047402010825338695,0.026503655849531765,0.8696,4.449013276980707e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.09,0.04939945976735081,0.027438616603176466,0.8666,3.564004935763812e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.12,0.05494272366572432,0.02929944790119257,0.8592,1.2161430976573952e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.15,0.056269023630910596,0.029811655903373285,0.8652,4.474010053911105e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.18,0.05348743669137485,0.02898591297402705,0.87,1.6473698151837263e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.21,0.056552880844954544,0.02983986745768028,0.8744,2.5764432562506287e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.24,0.053525342860327715,0.029133724680718353,0.8844,2.446022048707189e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.27,0.05965149096810851,0.03161696721775544,0.875,2.154779461889048e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.3,0.06258455359087045,0.03334894971996199,0.8688,4.753911047645749e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.32999999999999996,0.06650667623931453,0.03474255435784133,0.8742,1.7845150118298678e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.36,0.0717658360282006,0.03724986174012705,0.864,3.377305140869791e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.39,0.07083059239195187,0.03721026152350947,0.8654,8.796035966241527e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.42,0.0755619285977658,0.03938904146664971,0.8606,3.5004316749417853e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.44999999999999996,0.07656860189488203,0.03988363427883961,0.866,5.084965832434826e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.48,0.07609789908639951,0.0397532815602945,0.8742,3.18285964956771e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.51,0.07844325145508295,0.04096442290347128,0.8742,8.430974719362207e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.54,0.08051769106309507,0.0423873654770978,0.8674,1.3363447090372775e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.57,0.08437137485938279,0.044767489562242156,0.8562,2.514716590734946e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.6,0.08224507272262999,0.04336364310005923,0.8786,8.26803841354548e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.63,0.08226147082958357,0.04345978076966441,0.8838,4.906153204337084e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.6599999999999999,0.08571315042749787,0.045731758245719185,0.8736,6.52961076485452e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.69,0.08518085059158448,0.045994279601789555,0.8794,4.6836370580219805e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.72,0.08883007985728938,0.04798143738905961,0.8772,1.1942999207528187e-08,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
0.75,0.08792296325059923,0.04788798380379564,0.8838,6.313438585683217e-07,0.1105639783959259,38202.91809354728,0.00916288534745216,0.11083143622803915,38397.99583494722,0.01022048655911997,1.2872205326262433e-07,13854.428869987914,1.5489472149752098e-07
