coverage_dense,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.046871671992380355,0.026620137421660577,0.8424,0.08771960111891099,20789.741977965878,0.01782994837165329,1.469924996758576e-07,20842.524775290283,1.032007380580852e-08,7.980179269154533e-05,20789.741977965878,0.08771960111891099,0.01782994837165329
0.03,0.048902697490114264,0.02767657967699837,0.8392,0.08670161590505432,19546.03911164414,0.01752254763733328,1.4792430401674612e-07,20874.483081691968,8.919849939080696e-09,7.285089527134655e-05,19546.03911164414,0.08670161590505432,0.01752254763733328
0.06,0.0523931099710167,0.029509828715589468,0.8322,0.08540562022708205,18234.570929003843,0.01705030488797272,1.5449938004433856e-07,21752.077944044388,8.413569893909516e-09,6.616595155262578e-05,18234.570929003843,0.08540562022708205,0.01705030488797272
0.09,0.05663240639604109,0.03126534219377959,0.8204,0.08393765282152217,18176.310694622436,0.016794435761186735,1.6251357943853302e-07,22465.89038908952,9.772049258775863e-09,8.34571257489326e-05,18176.310694622436,0.08393765282152217,0.016794435761186735
0.12,0.059635678144945456,0.032267101207514894,0.8218,0.0844119349539723,17703.428106477677,0.01650324224319114,1.4997596305750739e-07,20997.5434075989,7.212549046241199e-09,6.0716663993490534e-05,17703.428106477677,0.0844119349539723,0.01650324224319114
0.15,0.06284102407028513,0.03380088127843587,0.8218,0.08392767231169192,16963.249915636326,0.01584125246000748,1.529160711442801e-07,21187.833988210245,8.870698420555437e-09,6.631552713384354e-05,16963.249915636326,0.08392767231169192,0.01584125246000748
0.18,0.06146038863233073,0.03332546992654711,0.8322,0.08303630683444338,16672.972390330528,0.01568054920080479,1.5592358120742688e-07,21481.269169290783,9.48170559498478e-09,6.267870021306135e-05,16672.972390330528,0.08303630683444338,0.01568054920080479
0.21,0.06207706125290983,0.03337902731854522,0.845,0.08312766775612994,16302.200725681541,0.015358983476061579,1.5169229259517806e-07,20842.94633316754,8.972081324004272e-09,6.715345756519271e-05,16302.200725681541,0.08312766775612994,0.015358983476061579
0.24,0.06229864704398904,0.03346884586684653,0.8516,0.08338657369017184,16541.946301621232,0.015017768632549382,1.543339483429591e-07,20839.722587739958,9.902247916512053e-09,7.525428497666024e-05,16541.946301621232,0.08338657369017184,0.015017768632549382
0.27,0.06532797759104168,0.03493389869128651,0.8514,0.0826644714530204,15975.748602932972,0.014819055547847248,1.5055266547763575e-07,20572.020670991085,9.148418836340162e-09,6.986026063447754e-05,15975.748602932972,0.0826644714530204,0.014819055547847248
