coverage_sparse,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687383545854794,0.026621897917820717,0.8424,0.0877275094678949,20795.892219766367,0.017826212272042927,1.469990307550261e-07,20839.50783442882,1.032290130191596e-08,7.983851309322144e-05,20795.892219766367,0.0877275094678949,0.017826212272042927
0.03,0.05127032383610412,0.02900596632193769,0.827,0.08171443925227946,16865.484985335905,0.01641270498190139,1.5410098624909176e-07,21110.94155442864,9.149213685282998e-09,8.15150676427189e-05,16865.484985335905,0.08171443925227946,0.01641270498190139
0.06,0.05610845992664812,0.03140035454183637,0.8066,0.07772463646346922,17090.869105579925,0.016246189385318292,1.6997901771220375e-07,21549.11577151974,1.3171584193974203e-08,0.00010583637120191345,17090.869105579925,0.07772463646346922,0.016246189385318292
0.09,0.06206541514833895,0.034650101651737646,0.7808,0.07369366536973196,14286.82658476982,0.014541150360702026,1.6095971991914787e-07,18009.48261131992,8.705937435863924e-09,6.732440583583233e-05,14286.82658476982,0.07369366536973196,0.014541150360702026
0.12,0.06289865121069975,0.03553090238882104,0.7832,0.07382372975741076,12402.048289627839,0.013096063688914937,1.6387150812435035e-07,21661.737361636646,5.062046870599353e-09,3.9899578960678294e-05,12402.048289627839,0.07382372975741076,0.013096063688914937
0.15,0.0636857068177497,0.03604446481461122,0.7734,0.0713553982193975,13721.726562652308,0.01514460418970579,1.7000635498190953e-07,19233.49553055315,9.573083026451298e-09,7.859832658499141e-05,13721.726562652308,0.0713553982193975,0.01514460418970579
0.18,0.06588178826436433,0.03689692156551407,0.79,0.07308072007770676,12317.141352627657,0.012228776169354442,1.525438581420304e-07,16958.319078706005,2.8800654494747396e-09,2.1559399686291335e-05,12317.141352627657,0.07308072007770676,0.012228776169354442
0.21,0.06979703444598334,0.03976756540226169,0.7394,0.0699366491226244,13018.734265811443,0.012755718675522866,1.7285072479715533e-07,20159.25108800175,1.1337798589399703e-10,1.3934990284654657e-06,13018.734265811443,0.0699366491226244,0.012755718675522866
0.24,0.07464358730672317,0.04172529601929583,0.7618,0.07155332664058696,11891.344028984155,0.011933831520278722,1.9581455005539817e-07,21565.164803323398,4.985841128100856e-11,2.077243346649306e-07,11891.344028984155,0.07155332664058696,0.011933831520278722
0.27,0.06910684051563575,0.03846979216994057,0.8054,0.07293793114270865,11992.871455019958,0.011179172083163092,1.8459778867138232e-07,17970.889010248313,9.438998179085781e-11,1.598282721490933e-06,11992.871455019958,0.07293793114270865,0.011179172083163092
