noise_sd,n,RMSE
0.0,7,0.07383498756457792
0.001,8,0.08795084276008625
0.002,16,0.08966310905213402
0.003,25,0.09513730500510102
0.004,16,0.09738792735326941
0.005,18,0.09402037822033275
0.006,24,0.09640648722576724
0.007,22,0.10107806303815339
0.008,24,0.10411079930320459
0.009000000000000001,23,0.1076702809443486
0.01,23,0.10960963516133014
0.011,18,0.11272596552699189
0.012,22,0.1075925697196632
0.013000000000000001,24,0.09815080780396397
0.014,23,0.09622176325946342
0.015,23,0.10968044291841915
