time_sec,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.0,0.04687383545854794,0.026621897917820717,0.8424,0.0877275094678949,20795.892219766367,0.017826212272042927,1.469990307550261e-07,20839.50783442882,1.032290130191596e-08,7.983851309322144e-05,20795.892219766367,0.0877275094678949,0.017826212272042927
3600.0,0.048919751573409796,0.027712658872157958,0.817,0.08157985957207739,20156.685347173167,0.01880749812891733,1.458550566232179e-07,23262.623363179904,6.447822755299402e-09,5.0148273106564465e-05,20156.685347173167,0.08157985957207739,0.01880749812891733
7200.0,0.05141714108432982,0.029061920760473196,0.7982,0.07653786875978255,16908.415652093867,0.018161718037610707,1.4706232779619685e-07,29611.248965994793,1.0213379891519176e-08,8.364468844047742e-05,16908.415652093867,0.07653786875978255,0.018161718037610707
10800.0,0.05574943552159566,0.03149191617752844,0.7962,0.07639429176068925,14336.312091652571,0.016738790217201153,1.6678493199072175e-07,27983.03145253104,7.536620551157182e-09,5.9417116844947635e-05,14336.312091652571,0.07639429176068925,0.016738790217201153
14400.0,0.05711209759398389,0.032351710519279306,0.8012,0.08033176401889904,14173.383488725643,0.015317418088986273,1.8361494104515354e-07,26031.531623450555,3.467085753889607e-09,3.33357714343631e-05,14173.383488725643,0.08033176401889904,0.015317418088986273
18000.0,0.05609926165761891,0.03177103613980178,0.8228,0.08561020553687061,14411.72592952788,0.013683880935193949,1.8186316003654242e-07,24711.624360259542,2.409953101893263e-09,1.6647963076309895e-05,14411.72592952788,0.08561020553687061,0.013683880935193949
21600.0,0.055153530812600327,0.031014427907725194,0.833,0.08759530776935297,14480.446625748405,0.013435809487245043,1.7043347484998576e-07,24826.91234871969,6.886151884200457e-10,4.6965146206540695e-06,14480.446625748405,0.08759530776935297,0.013435809487245043
25200.0,0.05780124555644467,0.03210050547805075,0.8268,0.08726186090732385,13944.108151354249,0.01368245516772654,1.618100701807867e-07,23615.016132788758,1.331073724805257e-10,4.096696213118233e-06,13944.108151354249,0.08726186090732385,0.01368245516772654
28800.0,0.05955718948992263,0.03269690027824944,0.823,0.08609858467983011,13506.546771323241,0.013611136912353564,1.5061028782187382e-07,21336.078651621287,6.900375794384629e-09,5.959925513828647e-05,13506.546771323241,0.08609858467983011,0.013611136912353564
32400.0,0.05801786274685994,0.031816297117681976,0.8254,0.08413345171804505,13895.133579979576,0.013945285966915723,1.4267659494789952e-07,22232.708194205705,1.035526192206542e-08,0.00010756635868463232,13895.133579979576,0.08413345171804505,0.013945285966915723
36000.0,0.05438161356782839,0.029722663086065432,0.8418,0.08815760676103654,16414.595513189433,0.015579266728893378,1.4126478438198708e-07,22297.882911881417,1.3073703869885937e-08,0.00011902526677356361,16414.595513189433,0.08815760676103654,0.015579266728893378
39600.0,0.04962469857353636,0.027378184503868568,0.8456,0.09495049850335908,21179.980038580055,0.018370627371905694,1.4035210400018176e-07,21631.30840421692,1.4153768958896515e-08,0.0001155405906203015,21179.980038580055,0.09495049850335908,0.018370627371905694
43200.0,0.04735046212293944,0.026450664334565572,0.8396,0.09702331441065802,24871.01884077104,0.020177383939945087,1.4142793491432615e-07,21050.13860732221,1.0973685537399645e-08,9.856592477764048e-05,24871.01884077104,0.09702331441065802,0.020177383939945087
46800.0,0.045792981723678204,0.02573088720994956,0.835,0.09548045281733752,25157.67321622813,0.019397798493035256,2.339610943279896e-07,39384.871507828764,1.51494463502402e-08,0.00012432869227430723,25157.67321622813,0.09548045281733752,0.019397798493035256
50400.0,0.04205886969048977,0.023302007366975897,0.847,0.09546404916577521,27622.005614377395,0.020096203884425633,3.3903544950790844e-07,59765.301315764926,1.5537279418850154e-08,0.00012780818673244868,27622.005614377395,0.09546404916577521,0.020096203884425633
54000.0,0.03997845220207548,0.021850743736854077,0.8582,0.09343944800940479,30014.25013324041,0.021807651221739357,3.8880584070649525e-07,71120.0426891915,1.2196440795579837e-08,0.00010327016867776093,30014.25013324041,0.09343944800940479,0.021807651221739357
